 X         ,Y         ,Z       ,ID  
  -0.14649011   0.05877171   0.31100354   0.82007348 
  -0.14414554   0.06430807   0.31100358   0.81909086 
  -0.14150909   0.06991883   0.31100362   0.81783243 
  -0.13855090   0.07561160   0.31100366   0.81621376 
  -0.13523380   0.08139586   0.31100371   0.81411750 
  -0.13151058   0.08728363   0.31100376   0.81137608 
  -0.12731980   0.09329058   0.31100381   0.80774216 
  -0.12257895   0.09943775   0.31100387   0.80283542 
  -0.13464169   0.08237160   0.31099673   0.21014566 
  -0.14317479   0.06644129   0.31099696   0.16819388 
  -0.15232776   0.04134876   0.31099726   0.15117216 
  -0.14649011   0.05877171   0.30967021   0.82007348 
  -0.14414554   0.06430807   0.30967024   0.81909086 
  -0.14150909   0.06991883   0.30967028   0.81783243 
  -0.13855090   0.07561160   0.30967033   0.81621376 
  -0.13523380   0.08139586   0.30967037   0.81411750 
  -0.13151058   0.08728363   0.30967042   0.81137608 
  -0.12731980   0.09329058   0.30967048   0.80774216 
  -0.12257895   0.09943775   0.30967054   0.80283542 
  -0.13464169   0.08237160   0.30966340   0.21014566 
  -0.14317479   0.06644129   0.30966363   0.16819388 
  -0.15232776   0.04134876   0.30966393   0.15117216 
  -0.14649011   0.05877171   0.30833687   0.82007348 
  -0.14414554   0.06430807   0.30833691   0.81909086 
  -0.14150909   0.06991883   0.30833695   0.81783243 
  -0.13855090   0.07561160   0.30833699   0.81621376 
  -0.13523380   0.08139586   0.30833704   0.81411750 
  -0.13151058   0.08728363   0.30833709   0.81137608 
  -0.12731980   0.09329058   0.30833715   0.80774216 
  -0.12257895   0.09943775   0.30833721   0.80283542 
  -0.13464169   0.08237160   0.30833007   0.21014565 
  -0.14317479   0.06644129   0.30833029   0.16819388 
  -0.15232776   0.04134876   0.30833060   0.15117215 
  -0.14649011   0.05877171   0.30700354   0.82007348 
  -0.14414554   0.06430807   0.30700358   0.81909086 
  -0.14150909   0.06991883   0.30700362   0.81783243 
  -0.13855090   0.07561160   0.30700366   0.81621376 
  -0.13523380   0.08139586   0.30700371   0.81411750 
  -0.13151058   0.08728363   0.30700376   0.81137608 
  -0.12731980   0.09329058   0.30700381   0.80774216 
  -0.12257895   0.09943775   0.30700387   0.80283542 
  -0.13464169   0.08237160   0.30699673   0.21014565 
  -0.14317479   0.06644129   0.30699696   0.16819388 
  -0.15232776   0.04134876   0.30699726   0.15117215 
  -0.14649011   0.05877171   0.30567021   0.82007348 
  -0.14414554   0.06430807   0.30567024   0.81909086 
  -0.14150909   0.06991883   0.30567028   0.81783243 
