X         ,Y         ,Z       ,ID 
  -0.17214827   0.09986723   0.31100306   0.14303000 
  -0.16078393   0.09611604   0.31100322   0.14808662 
  -0.15224093   0.09506398   0.31100334   0.14985749 
  -0.14510803   0.09526053   0.31100345   0.15131324 
  -0.13883071   0.09624855   0.31100355   0.15304755 
  -0.13310098   0.09785515   0.31100365   0.15530128 
  -0.12770198   0.10004673   0.31100375   0.15822053 
  -0.12243335   0.10291323   0.31100384   0.16182908 
  -0.15732928   0.09551874   0.31099647   0.74476952 
  -0.16730574   0.09791451   0.31099656   0.79546746 
  -0.17449083   0.10102179   0.31099663   0.81117411 
  -0.18021124   0.10450242   0.31099667   0.81775033 
  -0.18494331   0.10823497   0.31099671   0.82080770 
  -0.18892206   0.11215953   0.31099674   0.82226639 
  -0.19228194   0.11624185   0.31099676   0.82294244 
  -0.17214827   0.09986723   0.30966972   0.14303000 
  -0.16078393   0.09611604   0.30966988   0.14808662 
  -0.15224093   0.09506398   0.30967001   0.14985749 
  -0.14510803   0.09526053   0.30967012   0.15131324 
  -0.13883071   0.09624855   0.30967022   0.15304755 
  -0.13310098   0.09785515   0.30967032   0.15530128 
  -0.12770198   0.10004673   0.30967041   0.15822053 
  -0.12243335   0.10291323   0.30967051   0.16182908 
  -0.15732928   0.09551874   0.30966314   0.74476952 
  -0.16730574   0.09791451   0.30966323   0.79546746 
  -0.17449083   0.10102179   0.30966329   0.81117411 
  -0.18021124   0.10450242   0.30966334   0.81775033 
  -0.18494331   0.10823497   0.30966338   0.82080770 
  -0.18892206   0.11215953   0.30966341   0.82226639 
  -0.19228194   0.11624185   0.30966343   0.82294244 
  -0.17214827   0.09986723   0.30833639   0.14303000 
  -0.16078393   0.09611604   0.30833655   0.14808662 
  -0.15224093   0.09506398   0.30833668   0.14985749 
  -0.14510803   0.09526053   0.30833679   0.15131324 
  -0.13883071   0.09624855   0.30833689   0.15304755 
  -0.13310098   0.09785515   0.30833698   0.15530128 
  -0.12770198   0.10004673   0.30833708   0.15822053 
  -0.12243335   0.10291323   0.30833717   0.16182908 
  -0.15732928   0.09551874   0.30832981   0.74476952 
  -0.16730574   0.09791451   0.30832990   0.79546746 
  -0.17449083   0.10102179   0.30832996   0.81117411 
  -0.18021124   0.10450242   0.30833001   0.81775033 
  -0.18494331   0.10823497   0.30833004   0.82080770 
  -0.18892206   0.11215953   0.30833007   0.82226639 
  -0.19228194   0.11624185   0.30833010   0.82294244 
  -0.17214827   0.09986723   0.30700306   0.14303000 
  -0.16078393   0.09611604   0.30700322   0.14808662 
  -0.15224093   0.09506398   0.30700334   0.14985749 
  -0.14510803   0.09526053   0.30700345   0.15131324 
  -0.13883071   0.09624855   0.30700355   0.15304755 
  -0.13310098   0.09785515   0.30700365   0.15530128 
  -0.12770198   0.10004673   0.30700375   0.15822053 
  -0.12243335   0.10291323   0.30700384   0.16182908 
  -0.15732928   0.09551874   0.30699647   0.74476953 
  -0.16730574   0.09791451   0.30699656   0.79546746 
